    2, “caudal anterior cingulate”
    3, “caudal middle frontal”
    5, “cuneus”
    6, “entorhinal”
    7, “fusiform”
    8, “inferior parietal”
    9, “inferior temporal”
    10, “isthmus cingulate”
    11, “lateral occipital”
    12, “lateral orbitofrontal”
    13, “lingual”
    14, “medial orbitofrontal”
    15, “middle temporal”
    16, “parahippocampal”
    17, “paracentral”
    18, “pars opercularis”
    19, “pars orbitalis”
    20, “pars triangularis”
    21, “pericalcarine”
    22, “postcentral”
    23, “posterior cingulate”
    24, “precentral”
    25, “precuneus”
    26, “rostral anterior cingulate”
    27, “rostral middle frontal”
    28, “superior frontal”
    29, “superior parietal”
    30, “superior temporal”
    31, “supramarginal”
    34, “transverse temporal”
    35, “insula”
