index	name	abbreviation
1	Dorsolateral Prefrontal Cortex - Left	DLPFC_Left 
2	Dorsolateral Prefrontal Cortex - Right	DLPFC_Right 
3	Ventrolateral Prefrontal Cortex - Left	VLPFC_Left 
4	Ventrolateral Prefrontal Cortex - Right	VLPFC_Right 
5	Orbital Prefrontal Cortex - Left	OPFC_Left 
6	Orbital Prefrontal Cortex - Right	OPFC_Right 
7	Ventral Medial Prefrontal Cortex - Left	VMPFC_Left 
8	Ventral Medial Prefrontal Cortex - Right	VMPFC_Right 
9	Dorsal Medial Prefrontal Cortex  - Left	DMPFC_Left 
10	Dorsal Medial Prefrontal Cortex  - Right	DMPFC_Right 
11	Anterior Cingulate Cortex - Left	ACC_Left 
12	Anterior Cingulate Cortex - Right	ACC_Right 
13	Dorsal Premotor Cortex - Left	DPMC_Left 
14	Dorsal Premotor Cortex - Right	DPMC_Right 
15	Ventral Premotor Cortex - Left	VPMC_Left 
16	Ventral Premotor Cortex - Right	VPMC_Right 
17	Supplemental Motor Cortex - Left	SMC_Left 
18	Supplemental Motor Cortex - Right	SMC_Right 
19	Motor Cortex - Left	MC_Left 
20	Motor Cortex - Right	MC_Right 
21	Superior Temporal Cortex - Left	STC_Left 
22	Superior Temporal Cortex - Right	STC_Right 
23	Inferior Temporal Cortex - Left	ITC_Left 
24	Inferior Temporal Cortex - Right	ITC_Right 
25	Rhinal Cortex - Left	RC_Left 
26	Rhinal Cortex - Right	RC_Right 
27	Insular Cortex - Left	IC_Left 
28	Insular Cortex - Right	IC_Right 
29	Somatosensory Cortex - Left	SSC_Left 
30	Somatosensory Cortex - Right	SSC_Right 
31	Parietal Cortex - Left	PC_Left 
32	Parietal Cortex - Right	PC_Right 
33	Posterior Cingulate Cortex - Left	PCC_Left 
34	Posterior Cingulate Cortex - Right	PCC_Right 
35	Occipital Cortex - Left	OCC_Left 
36	Occipital Cortex - Right	OCC_Right 
37	Caudate - Left	CD_Left 
38	Caudate - Right	CD_Right 
39	Putamen - Left	PUT_Left 
40	Putamen - Right	PUT_Right 
41	Lateral Thalamus - Left	LatTH_Left 
42	Lateral Thalamus - Right	LatTh_Right 
43	Medial Thalamus - Left	MdTh_Left 
44	Medial Thalamus - Right	MdTh_Right 
45	Hippocampus - Left	HIPP_Left 
46	Hippocampus - Right	HIPP_Right 
47	Amygdala - Left	AMY_Left 
48	Amygdala - Right	AMY_Right 
49	Substantia nigra - Left	SN_Left 
50	Substantia nigra - Right	SN_Right 
51	Globus Pallidus Internal - Left	GPI_Left 
52	Globus Pallidus Internal - Right	GPI_Right 
53	Globus Pallidus External - Left	GPE_Left 
54	Globus Pallidus External - Left	GPE_Right 
55	Lateral ventricle - Left	LatVentricle_Left 
56	Lateral ventricle - Right	LatVentricle_Right 
57	Cerebellum	Cerebellum 
58	Middle Cerebellar Peduncle	MCP 
59	Pontine Crossing Tract	PCT 
60	Genu of Corpus Callosum	GCC 
61	Body of Corpus Callosum	BCC 
62	Splenium of Corpus Callosum	SCC 
63	Fornix	FX 
64	Anterior Commissure	AC 
65	Pyramidal Tracts	PT 
66	Corticospinal Tract - Right	CST-R 
67	Corticospinal Tract - Left	CST-L 
68	Medial Lemniscus - Right	ML-R 
69	Medial Lemniscus - Left	ML-L 
70	Inferior Cerebellar Peduncle - Right	ICP-R 
71	Inferior Cerebellar Peduncle - Left	ICP-L 
72	Superior Cerebellar Peduncle - Right	SCP-R 
73	Superior Cerebellar Peduncle - Left	SCP-L 
74	Cerebral Peduncle - Right	CP-R 
75	Cerebral Peduncle - Left	CP-L 
76	Anterior Limb of the Internal Capsule - Right	ALIC-R 
77	Anterior Limb of the Internal Capsule - Left	ALIC-L 
78	Posterior Limb of the Internal Capsule - Right	PLIC-R 
79	Posterior Limb of the Internal Capsule - Left	PLIC-L 
80	Retrolenticular Limb of the Internal Capsule - Right	RLIC-R 
81	Retrolenticular Limb of the Internal Capsule - Left	RLIC-L 
82	Anterior Corona Radiata - Right	ACR-R 
83	Anterior Corona Radiata - Left	ACR-L 
84	Superior Corona Radiata - Right	SCR-R 
85	Superior Corona Radiata - Left	SCR-L 
86	Posterior Corona Radiata - Right	PCR-R 
87	Posterior Corona Radiata - Left	PCR-L 
88	Posterior Thalamic Radiation - Right	PTR-R 
89	Posterior Thalamic Radiation - Left	PTR-L 
90	Sagittal Striatum - Right	SS-R 
91	Sagittal Striatum - Left	SS-L 
92	External Capsule - Right	EC-R 
93	External Capsule - Left	EC-L 
94	Superior Cingulum - Right	CgC-R 
95	Superior Cingulum - Left	CgC-L 
96	Perihippocampal Cingulum - Right	CgH-R 
97	Perihippocampal Cingulum - Left	CgH-L 
98	Stria Terminalus - Right	ST-R 
99	Stria Terminalus - Left	ST-L 
100	Superior Longitudinal Fasciculus - Right	SLF-R 
101	Superior Longitudinal Fasciculus - Left	SLF-L 
102	Superior Fronto-Occipital Fasciculus - Right	SFO-R 
103	Superior Fronto-Occipital Fasciculus - Left	SFO-L 
104	Uncinate Fasciculus - Right	UNC-R 
105	Uncinate Fasciculus - Left	UNC-L 
106	Tapetum - Right	TAP-R 
107	Tapetum - Left	TAP-L 
108	Dorsal Prefrontal WM - Right	DPF-R 
109	Dorsal Prefrontal WM - Left	DPF-L 
110	Ventral Prefrontal WM - Right	VPF-R 
111	Ventral Prefrontal WM - Left	VPF-L 
112	Dorsal Posterior Corona Radiata - Right	DPCR-R 
113	Dorsal Posterior Corona Radiata - Left	DPCR-L 
114	Medial Longitudinal Fasciculus - Right	MLF-R 
115	Medial Longitudinal Fasciculus - Left	MLF-L 
116	Central Tegmental - Right	CTG-R 
117	Central Tegmental - Left	CTG-L 
118	Inferior Frontal Gyrus WM - Right	IFG-WM-R 
119	Inferior Frontal Gyrus WM - Left	IFG-WM-L 
120	Superior Temporal Gyrus WM - Right	STG-WM-R 
121	Superior Temporal Gyrus WM - Left	STG-WM-L 
122	Middle Temporal Gyrus WM - Right	MTG-WM-R 
123	Middle Temporal Gyrus WM - Left	MTG-WM-L 
124	Adjacent Thalamus WM - Right	AT-WM-R 
125	Adjacent Thalamus WM - Left	AT-WM-L 
126	Adjacent Amygdala White Matter - Right	AA-WM-R 
127	Adjacent Amygdala White Matter - Left	AA-WM-L 
128	Midbrain White Matter WM - Right	MB-WM-R 
129	Midbrain White Matter WM - Left	MB-WM-L 
