Subdirectory,Filename,VertexCount
CIVETNMT,macaque_mid_mc_left.surf.gii,41k
CIVETNMT,macaque_sphere_mc_right.surf.gii,41k
CIVETNMT,macaque_white_mc_right.surf.gii,41k
CIVETNMT,macaque_sphere_mc_left.surf.gii,41k
CIVETNMT,macaque_mid_mc_right.surf.gii,41k
CIVETNMT,macaque_white_mc_left.surf.gii,41k
MEBRAINS,rh.MEBRAINS.smoothwm.inflated.surf.gii,101k
MEBRAINS,rh.MEBRAINS.mid.surf.gii,101k
MEBRAINS,rh.MEBRAINS.smoothwm.sphere.surf.gii,101k
MEBRAINS,lh.MEBRAINS.smoothwm.sphere.surf.gii,101k
MEBRAINS,lh.MEBRAINS.smoothwm.inflated.surf.gii,101k
MEBRAINS,lh.MEBRAINS.mid.surf.gii,101k
D99,D99_template_gray_surface_left.surf.gii,41k
D99,D99_template_white_surface_left.surf.gii,41k
D99,D99_template_mid_surface_right.surf.gii,41k
D99,D99_template_sphere_left.surf.gii,41k
D99,D99_template_mid_surface_left.surf.gii,41k
D99,D99_template_gray_surface_right.surf.gii,41k
D99,D99_template_sphere_right.surf.gii,41k
D99,D99_template_white_surface_right.surf.gii,41k
NMT2,NMT_v2.0_sym_lh.mid_surface.rsl.gii,41k
NMT2,NMT_v2.0_sym_rh.mid_surface.rsl.gii,41k
NMT2,rh.NMT_v2.0_sym_lh.mid_surface_sphere.rsl.gii,41k
NMT2,rh.NMT_v2.0_sym_lh.mid_surface_inflated.rsl.gii,41k
NMT2,NMT_v2.0_sym_rh.gray_surface.rsl.gii,41k
NMT2,NMT_v2.0_sym_lh.white_surface.rsl.gii,41k
NMT2,rh.NMT_v2.0_sym_rh.mid_surface_sphere.rsl.gii,41k
NMT2,NMT_v2.0_sym_lh.gray_surface.rsl.gii,41k
NMT2,rh.NMT_v2.0_sym_rh.mid_surface_inflated.rsl.gii,41k
NMT2,NMT_v2.0_sym_rh.white_surface.rsl.gii,41k
Yerkes19,MacaqueYerkes19.R.sphere.32k_fs_LR_implicit.surf.gii,32k
Yerkes19,MacaqueYerkes19.R.white.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.R.sphere.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.L.midthickness.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.L.white.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.L.sphere.32k_fs_LR_implicit.surf.gii,32k
Yerkes19,MacaqueYerkes19.R.midthickness.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.R.midthickness.10k_fs_LR.surf.gii,10k
Yerkes19,MacaqueYerkes19.L.midthickness.10k_fs_LR.surf.gii,10k
Yerkes19,MacaqueYerkes19.L.pial.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.L.sphere.32k_fs_LR.surf.gii,32k
Yerkes19,MacaqueYerkes19.R.pial.32k_fs_LR.surf.gii,32k
