Subdirectory,Filename,VertexCount
D99-NMT2,R.D99_mid_like_NMT2.surf.gii,41k
D99-NMT2,L.D99_sphere_like_NMT2.surf.gii,41k
D99-NMT2,L.D99_mid_like_NMT2.surf.gii,41k
D99-NMT2,R.D99_sphere_like_NMT2.surf.gii,41k
CIVETNMT-NMT2,L.CIVETNMT_sphere_like_NMT2.surf.gii,41k
CIVETNMT-NMT2,R.CIVETNMT_mid_like_NMT2.surf.gii,41k
CIVETNMT-NMT2,L.CIVETNMT_mid_like_NMT2.surf.gii,41k
CIVETNMT-NMT2,R.CIVETNMT_sphere_like_NMT2.surf.gii,41k
yerkes19-CIVETNMT,L.yerkes19_sphere_like_CIVETNMT.surf.gii,41k
yerkes19-CIVETNMT,R.yerkes19_sphere_like_CIVETNMT.surf.gii,41k
yerkes19-CIVETNMT,R.yerkes19_mid_like_CIVETNMT.surf.gii,41k
yerkes19-CIVETNMT,L.yerkes19_mid_like_CIVETNMT.surf.gii,41k
yerkes19-MEBRAINS,L.yerkes19_mid_like_MEBRAINS.surf.gii,101k
yerkes19-MEBRAINS,R.yerkes19_mid_like_MEBRAINS.surf.gii,101k
yerkes19-MEBRAINS,R.yerkes19_sphere_like_MEBRAINS.surf.gii,101k
yerkes19-MEBRAINS,L.yerkes19_sphere_like_MEBRAINS.surf.gii,101k
CIVETNMT-yerkes19,R.CIVETNMT_mid_like_yerkes19.surf.gii,32k
CIVETNMT-yerkes19,L.CIVETNMT_mid_like_yerkes19.surf.gii,32k
CIVETNMT-yerkes19,R.CIVETNMT_sphere_like_yerkes19.surf.gii,32k
CIVETNMT-yerkes19,L.CIVETNMT_sphere_like_yerkes19.surf.gii,32k
MEBRAINS-NMT2,R.MEBRAINS_sphere_like_NMT2.surf.gii,41k
MEBRAINS-NMT2,R.MEBRAINS_mid_like_NMT2.surf.gii,41k
MEBRAINS-NMT2,L.MEBRAINS_sphere_like_NMT2.surf.gii,41k
MEBRAINS-NMT2,L.MEBRAINS_mid_like_NMT2.surf.gii,41k
yerkes19-NMT2,L.yerkes19_sphere_like_NMT2.surf.gii,41k
yerkes19-NMT2,R.yerkes19_mid_like_NMT2.surf.gii,41k
yerkes19-NMT2,L.yerkes19_mid_like_NMT2.surf.gii,41k
yerkes19-NMT2,R.yerkes19_sphere_like_NMT2.surf.gii,41k
MEBRAINS-D99,R.MEBRAINS_sphere_like_D99.surf.gii,41k
MEBRAINS-D99,R.MEBRAINS_mid_like_D99.surf.gii,41k
MEBRAINS-D99,L.MEBRAINS_sphere_like_D99.surf.gii,41k
MEBRAINS-D99,L.MEBRAINS_mid_like_D99.surf.gii,41k
D99-MEBRAINS,R.D99_sphere_like_MEBRAINS.surf.gii,101k
D99-MEBRAINS,L.D99_sphere_like_MEBRAINS.surf.gii,101k
D99-MEBRAINS,R.D99_mid_like_MEBRAINS.surf.gii,101k
D99-MEBRAINS,L.D99_mid_like_MEBRAINS.surf.gii,101k
yerkes19-D99,L.yerkes19_sphere_like_D99.surf.gii,41k
yerkes19-D99,R.yerkes19_mid_like_D99.surf.gii,41k
yerkes19-D99,R.yerkes19_sphere_like_D99.surf.gii,41k
yerkes19-D99,L.yerkes19_mid_like_D99.surf.gii,41k
D99-CIVETNMT,L.D99_mid_like_CIVETNMT.surf.gii,41k
D99-CIVETNMT,L.D99_sphere_like_CIVETNMT.surf.gii,41k
D99-CIVETNMT,R.D99_mid_like_CIVETNMT.surf.gii,41k
D99-CIVETNMT,R.D99_sphere_like_CIVETNMT.surf.gii,41k
MEBRAINS-CIVETNMT,R.MEBRAINS_sphere_like_CIVETNMT.surf.gii,41k
MEBRAINS-CIVETNMT,L.MEBRAINS_mid_like_CIVETNMT.surf.gii,41k
MEBRAINS-CIVETNMT,R.MEBRAINS_mid_like_CIVETNMT.surf.gii,41k
MEBRAINS-CIVETNMT,L.MEBRAINS_sphere_like_CIVETNMT.surf.gii,41k
NMT2-MEBRAINS,L.NMT2_sphere_like_MEBRAINS.surf.gii,101k
NMT2-MEBRAINS,L.NMT2_mid_like_MEBRAINS.surf.gii,101k
NMT2-MEBRAINS,R.NMT2_mid_like_MEBRAINS.surf.gii,101k
NMT2-MEBRAINS,R.NMT2_sphere_like_MEBRAINS.surf.gii,101k
NMT2-CIVETNMT,R.NMT2_sphere_like_CIVETNMT.surf.gii,41k
NMT2-CIVETNMT,L.NMT2_mid_like_CIVETNMT.surf.gii,41k
NMT2-CIVETNMT,R.NMT2_mid_like_CIVETNMT.surf.gii,41k
NMT2-CIVETNMT,L.NMT2_sphere_like_CIVETNMT.surf.gii,41k
CIVETNMT-MEBRAINS,R.CIVETNMT_mid_like_MEBRAINS.surf.gii,101k
CIVETNMT-MEBRAINS,L.CIVETNMT_mid_like_MEBRAINS.surf.gii,101k
CIVETNMT-MEBRAINS,L.CIVETNMT_sphere_like_MEBRAINS.surf.gii,101k
CIVETNMT-MEBRAINS,R.CIVETNMT_sphere_like_MEBRAINS.surf.gii,101k
CIVETNMT-D99,R.CIVETNMT_mid_like_D99.surf.gii,41k
CIVETNMT-D99,R.CIVETNMT_sphere_like_D99.surf.gii,41k
CIVETNMT-D99,L.CIVETNMT_sphere_like_D99.surf.gii,41k
CIVETNMT-D99,L.CIVETNMT_mid_like_D99.surf.gii,41k
NMT2-yerkes19,L.NMT2_mid_like_yerkes19.surf.gii,32k
NMT2-yerkes19,R.NMT2_mid_like_yerkes19.surf.gii,32k
NMT2-yerkes19,L.NMT2_sphere_like_yerkes19.surf.gii,32k
NMT2-yerkes19,R.NMT2_sphere_like_yerkes19.surf.gii,32k
MEBRAINS-yerkes19,R.MEBRAINS_sphere_like_yerkes19.surf.gii,32k
MEBRAINS-yerkes19,L.MEBRAINS_sphere_like_yerkes19.surf.gii,32k
MEBRAINS-yerkes19,R.MEBRAINS_mid_like_yerkes19.surf.gii,32k
MEBRAINS-yerkes19,L.MEBRAINS_mid_like_yerkes19.surf.gii,32k
NMT2-D99,L.NMT2_mid_like_D99.surf.gii,41k
NMT2-D99,R.NMT2_sphere_like_D99.surf.gii,41k
NMT2-D99,L.NMT2_sphere_like_D99.surf.gii,41k
NMT2-D99,R.NMT2_mid_like_D99.surf.gii,41k
D99-yerkes19,L.D99_sphere_like_yerkes19.surf.gii,32k
D99-yerkes19,R.D99_mid_like_yerkes19.surf.gii,32k
D99-yerkes19,R.D99_sphere_like_yerkes19.surf.gii,32k
D99-yerkes19,L.D99_mid_like_yerkes19.surf.gii,32k
